Unnamed: 0,url,checked,title
107,https://singlife.com/content/dam/public/sg/documents/life-insurance/singlife-simple-term/brochure.pdf,True,brochure
109,https://singlife.com/content/dam/public/sg/documents/life-insurance/singlife-elite-term/brochure.pdf,True,brochure
111,https://singlife.com/content/dam/public/sg/documents/life-insurance/singlife-whole-life/brochure.pdf,True,brochure
113,https://singlife.com/content/dam/public/sg/documents/life-insurance/direct-purchase-insurance/brochure.pdf,True,brochure
116,https://singlife.com/content/dam/public/sg/documents/medical-insurance/singlife-health-plus-and-singlife-shield-brochure.pdf,True,singlife-health-plus-and-singlife-shield-brochure
119,https://singlife.com/content/dam/public/sg/documents/medical-insurance/singlife-cancer-cover-plus-brochure.pdf,True,singlife-cancer-cover-plus-brochure
120,https://singlife.com/content/dam/public/sg/documents/critical-illness-insurance/singlife-comprehensive-critical-illness/brochure.pdf,True,brochure
122,https://singlife.com/content/dam/public/sg/documents/critical-illness-insurance/singlife-multipay-critical-illness/brochure.pdf,True,brochure
124,https://singlife.com/content/dam/public/sg/documents/critical-illness-insurance/singlife-essential-critical-illness/brochure.pdf,True,brochure
127,https://singlife.com/content/dam/public/sg/documents/disability-insurance/singlife-careshield-standard-and-singlife-careshield-plus/singlife-careshield-standard-and-plus-brochure.pdf,True,singlife-careshield-standard-and-plus-brochure
128,https://singlife.com/content/dam/public/sg/documents/disability-insurance/singlife-eldershield-standard-and-singlife-eldershield-plus/singlife-eldershield-standard-and-plus-brochure-eng.pdf,True,singlife-eldershield-standard-and-plus-brochure-eng
131,https://singlife.com/content/dam/public/sg/documents/maternity-insurance/singlife-maternity-care/brochure.pdf,True,brochure
138,https://singlife.com/content/dam/public/sg/documents/maternity-insurance/singlife-maternity-care/brochure-chinese.pdf,True,brochure-chinese
142,https://singlife.com/content/dam/public/sg/documents/accident-insurance/singlife-accident-guard/brochure.pdf,True,brochure
143,https://singlife.com/content/dam/public/sg/documents/accident-insurance/singlife-personal-accident/summary-of-cover.pdf,True,summary-of-cover
148,https://singlife.com/content/dam/public/sg/documents/lifestyle-insurance/singlife-car-insurance/summary-of-cover.pdf,True,summary-of-cover
157,https://singlife.com/content/dam/public/sg/documents/lifestyle-insurance/singlife-travel-insurance/policy-documents/travel-policy-document.pdf,True,travel-policy-document
163,https://singlife.com/content/dam/public/sg/documents/lifestyle-insurance/singlife-home-insurance/summary-of-cover.pdf,True,summary-of-cover
164,https://singlife.com/content/dam/public/sg/documents/lifestyle-insurance/singlife-home-insurance/claim-form.pdf,True,claim-form
167,https://singlife.com/content/dam/public/sg/documents/mindef-and-mha/products/group-term-life-product-summary.pdf,True,group-term-life-product-summary
168,https://singlife.com/content/dam/public/sg/documents/mindef-and-mha/products/group-personal-injury-product-summary.pdf,True,group-personal-injury-product-summary
169,https://singlife.com/content/dam/public/sg/documents/mindef-and-mha/riders/living-care-product-summary.pdf,True,living-care-product-summary
170,https://singlife.com/content/dam/public/sg/documents/mindef-and-mha/riders/living-care-plus-product-summary.pdf,True,living-care-plus-product-summary
171,https://singlife.com/content/dam/public/sg/documents/mindef-and-mha/riders/disability-income-product-summary.pdf,True,disability-income-product-summary
172,https://singlife.com/content/dam/public/sg/documents/mindef-and-mha/riders/outpatient-medicare-product-summary.pdf,True,outpatient-medicare-product-summary
